rules;support;confidence;coverage;lift;count
{Pr,Teknik Sipil} => {B};0,122040073;0,87012987;0,140255009;164.158.521.890.481;67
{SM,Teknik Sipil} => {B};0,216757741;0,798657718;0,27140255;150.674.600.428.977;119
{A1,SM,Teknik Sipil} => {B};0,140255009;0,777777778;0,180327869;146.735.395.189.003;77
{SM,SNMPTN,Teknik Sipil} => {B};0,107468124;0,766233766;0,140255009;144.557.504.351.319;59
{SM,Teknik Mesin} => {Lk};0,114754098;1;0,114754098;142.227.979.274.611;63
{Pr,SM} => {B};0,154826958;0,739130435;0,209471767;139.444.195.428.059;85
{Teknik Mesin} => {Lk};0,147540984;0,975903614;0,151183971;138.800.799.051.127;81
{M} => {Lk};0,134790528;0,948717949;0,142076503;134.934.236.747.708;74
{Lk,SM,Teknik Sipil} => {B};0,109289617;0,705882353;0,154826958;133.171.619.163.129;60
{C,SM} => {Lk};0,142076503;0,906976744;0,156648452;128.997.469.574.648;78
{A1,C} => {Lk};0,114754098;0,887323944;0,129326047;126.202.291.469.021;63
{A2,B} => {SM};0,123861566;0,871794872;0,142076503;123.354.480.570.975;68
{B,SPMU} => {SM};0,142076503;0,866666667;0,163934426;122.628.865.979.381;78
{A1,B,Teknik Sipil} => {SM};0,140255009;0,865168539;0,162112933;122.416.888.682.961;77
{Teknik Elektro} => {Lk};0,160291439;0,854368932;0,187613843;121.515.166.758.891;88
{B,Teknik Sipil} => {SM};0,216757741;0,85;0,255009107;120.270.618.556.701;119
{B,Lk} => {SM};0,280510018;0,846153846;0,33151184;119.726.407.613.006;154
{SM,Teknik Elektro} => {Lk};0,103825137;0,838235294;0,123861566;119.220.512.039.012;57
{B,Lk,SNMPTN} => {SM};0,14571949;0,842105263;0,173041894;119.153.553.988.063;80
{A1,B,Lk} => {SM};0,151183971;0,838383838;0,180327869;118.626.991.565.136;83
{Pr,Teknik Sipil} => {SM};0,116575592;0,831168831;0,140255009;117.606.105.234.971;64
{B,Lk,Teknik Sipil} => {SM};0,109289617;0,821917808;0,132969035;116.297.133.173.281;60
{B} => {SM};0,435336976;0,821305842;0,530054645;116.210.543.097.035;239
{B,SNMPTN,Teknik Sipil} => {SM};0,107468124;0,819444444;0,131147541;115.947.164.948.454;59
{SPMU,Teknik Sipil} => {SM};0,102003643;0,811594203;0,12568306;114.836.396.234.872;56
{B,SNMPTN} => {SM};0,233151184;0,810126582;0,287795993;114.628.735.482.187;128
{A1,B} => {SM};0,240437158;0,795180723;0,302367942;112.513.973.419.451;132
{B,Pr} => {SM};0,154826958;0,779816514;0,198542805;110.340.017.024.496;85
{Lk,Teknik Mesin} => {SM};0,114754098;0,777777778;0,147540984;110.051.546.391.753;63
{A2,SNMPTN} => {SM};0,100182149;0,774647887;0,129326047;109.608.683.025.991;55
{A3} => {SM};0,111111111;0,7625;0,14571949;107.889.819.587.629;61
{Teknik Mesin} => {SM};0,114754098;0,759036145;0,151183971;107.399.701.900.385;63
{SPMU} => {Lk};0,256830601;0,754010695;0,340619308;107.241.417.527.916;141
{A1,Teknik Sipil} => {SM};0,180327869;0,755725191;0,238615665;106.931.219.013.142;99
{A3} => {Lk};0,109289617;0,75;0,14571949;106.670.984.455.959;60
{A2} => {Lk};0,202185792;0,75;0,269581056;106.670.984.455.959;111
{A1,B,SNMPTN} => {SM};0,122040073;0,752808989;0,162112933;106.518.591.451.407;67
{Lk,SNMPTN} => {SM};0,276867031;0,748768473;0,369763206;105.946.879.284.953;152
{SNMPTN,Teknik Sipil} => {SM};0,140255009;0,747572816;0,187613843;105.777.699.929.937;77
{B,Informatika} => {SM};0,10564663;0,743589744;0,142076503;105.214.115.781.126;58
{Teknik Sipil} => {SM};0,27140255;0,741293532;0,366120219;104.889.213.725.188;149
{SNMPTN} => {SM};0,39708561;0,738983051;0,537340619;104.562.292.503.931;218
{Informatika,Lk} => {SM};0,123861566;0,731182796;0,169398907;103.458.596.607.915;68
{A1,SPMU} => {Lk};0,147540984;0,723214286;0,204007286;102.861.306.439.674;81
{A2} => {SM};0,194899818;0,722972973;0,269581056;102.296.949.010.867;107
{A1,Lk,Teknik Sipil} => {SM};0,102003643;0,717948718;0,142076503;101.586.042.823.156;56
{Pr,SNMPTN} => {SM};0,120218579;0,717391304;0,167577413;101.507.171.671.896;66
{A2,SM} => {Lk};0,138433515;0,710280374;0,194899818;101.021.742.288.509;76
{Pr} => {SM};0,209471767;0,709876543;0,295081967;100.443.871.706.758;115
{SM,SPMU} => {Lk};0,16575592;0,705426357;0,234972678;100.331.365.224.726;91
{Lk} => {SM};0,49726776;0,707253886;0,703096539;100.072.779.231.879;273
{SM} => {Lk};0,49726776;0,703608247;0,706739526;100.072.779.231.879;273
{A1,Lk} => {SM};0,276867031;0,706976744;0,391621129;100.033.565.092.304;152
{Pr,SM,Teknik Sipil} => {B};0,107468124;0,921875;0,116575592;17.392.074.742.268;59
{C} => {Lk};0,202185792;0,909836066;0,222222222;12.940.414.507.772;111
{B,Pr,Teknik Sipil} => {SM};0,107468124;0,880597015;0,122040073;12.459.993.845.207;59
{A1,Lk,SNMPTN} => {SM};0,151183971;0,741071429;0,204007286;10.485.778.718.704;83
{} => {Lk};0,703096539;0,703096539;1;1;386
