"rules";"support";"confidence";"coverage";"lift";"count"
"{} => {Lk}";0.703096539162113;0.703096539162113;1;1;386
"{} => {SM}";0.706739526411658;0.706739526411658;1;1;388
"{C} => {Lk}";0.202185792349727;0.909836065573771;0.222222222222222;1.2940414507772;111
"{A2} => {Lk}";0.202185792349727;0.75;0.269581056466302;1.06670984455959;111
"{Pr} => {SM}";0.209471766848816;0.709876543209877;0.295081967213115;1.00443871706758;115
"{SPMU} => {Lk}";0.256830601092896;0.754010695187166;0.340619307832423;1.07241417527916;141
"{SPMU} => {SM}";0.234972677595628;0.689839572192513;0.340619307832423;0.976087435911572;129
"{Teknik Sipil} => {B}";0.255009107468124;0.696517412935323;0.366120218579235;1.3140483151254;140
"{Teknik Sipil} => {A1}";0.238615664845173;0.651741293532338;0.366120218579235;1.11814365671642;131
"{Teknik Sipil} => {Lk}";0.225865209471767;0.616915422885572;0.366120218579235;0.877426339803573;124
"{Teknik Sipil} => {SM}";0.271402550091075;0.741293532338308;0.366120218579235;1.04889213725188;149
"{B} => {Lk}";0.331511839708561;0.625429553264605;0.530054644808743;0.889535815394477;182
"{B} => {SM}";0.435336976320583;0.821305841924399;0.530054644808743;1.16210543097035;239
"{SM} => {B}";0.435336976320583;0.615979381443299;0.706739526411657;1.16210543097035;239
"{SNMPTN} => {Lk}";0.36976320582878;0.688135593220339;0.537340619307832;0.978721348906648;203
"{SNMPTN} => {SM}";0.397085610200364;0.738983050847458;0.537340619307832;1.04562292503931;218
"{A1} => {Lk}";0.391621129326047;0.671875;0.58287795992714;0.955594235751295;215
"{A1} => {SM}";0.400728597449909;0.6875;0.58287795992714;0.97277706185567;220
"{Lk} => {SM}";0.497267759562842;0.707253886010363;0.703096539162113;1.00072779231879;273
"{SM} => {Lk}";0.497267759562842;0.70360824742268;0.706739526411657;1.00072779231879;273
"{B,Teknik Sipil} => {SM}";0.216757741347905;0.85;0.255009107468124;1.20270618556701;119
"{SM,Teknik Sipil} => {B}";0.216757741347905;0.798657718120805;0.271402550091075;1.50674600428977;119
"{B,SNMPTN} => {SM}";0.233151183970856;0.810126582278481;0.287795992714026;1.14628735482187;128
"{A1,B} => {SM}";0.240437158469945;0.795180722891566;0.302367941712204;1.12513973419451;132
"{A1,SM} => {B}";0.240437158469945;0.6;0.400728597449909;1.1319587628866;132
"{B,Lk} => {SM}";0.280510018214936;0.846153846153846;0.331511839708561;1.19726407613006;154
"{B,SM} => {Lk}";0.280510018214936;0.644351464435146;0.435336976320583;0.916448067292475;154
"{A1,SNMPTN} => {Lk}";0.204007285974499;0.658823529411765;0.309653916211293;0.937031392868028;112
"{A1,SNMPTN} => {SM}";0.216757741347905;0.7;0.309653916211293;0.990463917525773;119
"{Lk,SNMPTN} => {SM}";0.276867030965392;0.748768472906404;0.36976320582878;1.05946879284953;152
"{SM,SNMPTN} => {Lk}";0.276867030965392;0.697247706422018;0.397085610200364;0.991681323382612;152
"{A1,Lk} => {SM}";0.276867030965392;0.706976744186047;0.391621129326047;1.00033565092304;152
"{A1,SM} => {Lk}";0.276867030965392;0.690909090909091;0.400728597449909;0.982666038624588;152
