rules;support;confidence;coverage;lift;count;;;;
{C,Teknik Mesin} => {L};0,05;1;0,05;1,39;40;;;;
{SPMU,Teknik Mesin} => {L};0,05;1;0,05;1,39;42;;;Kategori IPK;
{SM,Teknik Mesin} => {L};0,13;0,99;0,13;1,37;102;;;Kategori;Keterangan
{Teknik Mesin} => {L};0,16;0,98;0,17;1,35;129;;;P;IPK ? 3,51
{C,M} => {L};0,05;0,95;0,06;1,32;42;;;SM;3,01 ? IPK ? 3,50
{M,SNMPTN} => {L};0,05;0,95;0,05;1,32;40;;;M;2,76 ? IPK ? 3,00
{M} => {L};0,13;0,95;0,13;1,32;99;;;TP;2,00 ? IPK ? 2,75
{A2,C} => {L};0,06;0,94;0,07;1,31;50;;;;
{D} => {L};0,07;0,93;0,08;1,29;57;;;Kategori Lama Studi;
{C,SPMU} => {L};0,09;0,92;0,1;1,28;73;;;Kategori;Keterangan
{C,Teknik Sipil} => {L};0,07;0,91;0,07;1,26;51;;;A;Lama Studi ? 4 tahun
{E} => {L};0,05;0,91;0,06;1,26;40;;;B;4 tahun < Lama Studi ? 5 tahun
{C} => {L};0,22;0,9;0,24;1,25;169;;;C;5 tahun < Lama Studi ? 6 tahun
{A2,B,SNMPTN} => {SM};0,06;0,89;0,07;1,25;48;;;D;6 tahun < Lama Studi ? 7 tahun
{A2,B,L} => {SM};0,08;0,88;0,1;1,24;66;;;E;Lama Studi ? 7 tahun
{A2,B} => {SM};0,12;0,87;0,14;1,23;96;;;;
{B,L,SPMU} => {SM};0,09;0,87;0,11;1,23;74;;;;
{Teknik Elektro} => {L};0,16;0,87;0,18;1,2;126;;;Kategori Lama Studi;
{C,SNMPTN} => {SM};0,1;0,86;0,12;1,22;81;;;Kategori;Keterangan
{B,SPMU} => {SM};0,14;0,86;0,16;1,21;108;;;A1;Kota Bengkulu
{B,Teknik Mesin} => {SM};0,06;0,85;0,07;1,2;46;;;A2;Kabupaten Bengkulu
{A2,SM,Teknik Sipil} => {B};0,05;0,84;0,07;1,64;43;;;A3;Luar Provinsi Bengkulu
{B,L} => {SM};0,28;0,84;0,33;1,18;220;;;;
{A2,SPMU} => {L};0,08;0,84;0,09;1,16;62;;;;
{A,Informatika} => {P};0,06;0,84;0,07;2,43;46;;;;
{B,Teknik Elektro} => {SM};0,06;0,82;0,07;1,16;47;;;;
{A,A1} => {P};0,07;0,82;0,08;2,39;51;;;;
{B} => {SM};0,42;0,82;0,51;1,15;328;;;;
{SBMPTN,SM} => {L};0,06;0,8;0,07;1,11;45;;;;
{A2,Teknik Sipil} => {SM};0,07;0,8;0,08;1,12;51;;;;
{A2,SNMPTN} => {SM};0,11;0,8;0,14;1,12;90;;;;
{P,SNMPTN,Teknik Sipil} => {B};0,08;0,79;0,1;1,53;59;;;;
{SBMPTN,SM} => {B};0,06;0,79;0,07;1,53;44;;;;
{A} => {P};0,09;0,78;0,11;2,28;69;;;;
{Teknik Mesin} => {SM};0,13;0,78;0,17;1,1;103;;;;
{SM,SPMU,Teknik Sipil} => {B};0,07;0,78;0,09;1,52;56;;;;
{A2,C} => {SM};0,05;0,77;0,07;1,09;41;;;;
{P,Teknik Sipil} => {B};0,12;0,77;0,16;1,51;95;;;;
{A2} => {L};0,21;0,77;0,27;1,07;166;;;;
{SM,Teknik Sipil} => {B};0,2;0,77;0,27;1,5;160;;;;
{SPMU} => {L};0,26;0,77;0,34;1,06;202;;;;
{A3} => {SM};0,11;0,76;0,15;1,08;87;;;;
{A3} => {L};0,11;0,76;0,15;1,06;87;;;;
{SNMPTN,Teknik Sipil} => {SM};0,15;0,76;0,19;1,07;115;;;;
{C,Teknik Elektro} => {SM};0,05;0,75;0,07;1,06;40;;;;
{L,SNMPTN} => {SM};0,29;0,75;0,38;1,06;226;;;;
{A2,Teknik Sipil} => {B};0,06;0,75;0,08;1,46;48;;;;
{A2,Informatika} => {SM};0,07;0,75;0,09;1,06;51;;;;
{A2} => {SM};0,21;0,75;0,27;1,06;161;;;;
{C} => {SM};0,18;0,74;0,24;1,05;139;;;;
{SPMU,Teknik Sipil} => {SM};0,09;0,74;0,12;1,05;72;;;;
{SNMPTN} => {SM};0,4;0,74;0,55;1,04;317;;;;
{A1,B,P,SM} => {Teknik Sipil};0,06;0,74;0,08;2,04;45;;;;
{Teknik Sipil} => {SM};0,27;0,73;0,36;1,03;208;;;;
{SM} => {L};0,52;0,73;0,71;1,01;405;;;;
{} => {L};0,72;0,72;1;1;566;;;;
{P,SM} => {B};0,14;0,72;0,19;1,39;108;;;;
{C,Teknik Sipil} => {A1};0,05;0,71;0,07;1,23;40;;;;
{A3,L,SM} => {SNMPTN};0,06;0,71;0,08;1,3;47;;;;
{A2,P} => {B};0,05;0,71;0,08;1,39;42;;;;
{} => {SM};0,71;0,71;1;1;556;;;;
{A} => {A1};0,08;0,7;0,11;1,22;62;;;;
{A3,SM} => {SNMPTN};0,08;0,7;0,11;1,28;61;;;;
{P,SPMU} => {A1};0,06;0,69;0,09;1,2;50;;;;
{B,P,SM,SNMPTN} => {Teknik Sipil};0,05;0,69;0,08;1,91;43;;;;
{Informatika,P,SNMPTN} => {A1};0,05;0,68;0,08;1,18;41;;;;
{A3,L} => {SNMPTN};0,08;0,68;0,11;1,24;59;;;;
{SNMPTN,Teknik Sipil} => {B};0,13;0,68;0,19;1,32;103;;;;
{SPMU,Teknik Sipil} => {A1};0,08;0,67;0,12;1,16;65;;;;
{Informatika,P} => {A1};0,09;0,67;0,14;1,15;74;;;;
