"rules";"support";"confidence";"coverage";"lift";"count"
"{A1,M,SPMU} => {C}";0.0294117647058824;1;0.0294117647058824;4.94545454545455;8
"{A1,M} => {C}";0.0441176470588235;0.923076923076923;0.0477941176470588;4.56503496503497;12
"{M,SPMU} => {C}";0.0404411764705882;0.846153846153846;0.0477941176470588;4.18461538461538;11
"{A1,Informatika,P,SNMPTN} => {A}";0.0367647058823529;0.769230769230769;0.0477941176470588;3.87464387464387;10
"{A1,Informatika,L,P} => {A}";0.0220588235294118;0.75;0.0294117647058824;3.77777777777778;6
"{M} => {C}";0.0588235294117647;0.761904761904762;0.0772058823529412;3.76796536796537;16
"{A1,Informatika,P} => {A}";0.0735294117647059;0.714285714285714;0.102941176470588;3.5978835978836;20
"{Informatika,L,P} => {A}";0.0220588235294118;0.666666666666667;0.0330882352941177;3.35802469135802;6
"{Informatika,P,SNMPTN} => {A}";0.0477941176470588;0.65;0.0735294117647059;3.27407407407407;13
"{Informatika,P} => {A}";0.0992647058823529;0.627906976744186;0.158088235294118;3.16279069767442;27
"{A,A2,SNMPTN} => {Informatika}";0.0220588235294118;0.857142857142857;0.0257352941176471;3.15057915057915;6
"{A,A2,SM} => {Informatika}";0.0220588235294118;0.857142857142857;0.0257352941176471;3.15057915057915;6
"{A1,Informatika,SNMPTN} => {A}";0.0404411764705882;0.611111111111111;0.0661764705882353;3.07818930041152;11
"{A,A2} => {Informatika}";0.0294117647058824;0.8;0.0367647058823529;2.94054054054054;8
"{A,SPMU} => {Informatika}";0.0220588235294118;0.75;0.0294117647058824;2.75675675675676;6
"{A1,L,Teknik Mesin} => {SPMU}";0.0257352941176471;0.636363636363636;0.0404411764705882;2.54545454545455;7
"{M} => {SPMU}";0.0477941176470588;0.619047619047619;0.0772058823529412;2.47619047619048;13
"{P,SM,Teknik Elektro} => {A2}";0.0220588235294118;0.75;0.0294117647058824;2.4578313253012;6
"{A,L,SNMPTN} => {Informatika}";0.0257352941176471;0.636363636363636;0.0404411764705882;2.33906633906634;7
"{A3,P,SNMPTN} => {Teknik Sipil}";0.0257352941176471;1;0.0257352941176471;2.30508474576271;7
"{A1,C,L,SNMPTN} => {Teknik Sipil}";0.0257352941176471;1;0.0257352941176471;2.30508474576271;7
"{A1,C,SM,SNMPTN} => {Teknik Sipil}";0.0257352941176471;1;0.0257352941176471;2.30508474576271;7
"{A,SM,SNMPTN} => {Informatika}";0.0294117647058824;0.615384615384615;0.0477941176470588;2.26195426195426;8
"{A,SM} => {Informatika}";0.0404411764705882;0.611111111111111;0.0661764705882353;2.24624624624625;11
"{A,SNMPTN} => {Informatika}";0.0625;0.607142857142857;0.102941176470588;2.23166023166023;17
"{A,A3} => {P}";0.0220588235294118;1;0.0220588235294118;2.19354838709677;6
