"rules";"support";"confidence";"coverage";"lift";"count"
"{Informatika,P,Pr} => {A}";0.0368098159509202;0.72;0.0511247443762781;5.10260869565217;18
"{A1,Informatika,P} => {A}";0.0388548057259714;0.678571428571429;0.0572597137014315;4.80900621118013;19
"{A,SBMPTN} => {P}";0.0408997955010225;0.909090909090909;0.0449897750511247;4.53617810760668;20
"{Informatika,P} => {A}";0.0511247443762781;0.625;0.081799591002045;4.42934782608696;25
"{A,A1,Pr} => {P}";0.0449897750511247;0.758620689655172;0.0593047034764826;3.7853624208304;22
"{A,Pr} => {P}";0.0593047034764826;0.707317073170732;0.0838445807770961;3.52936784469886;29
"{A,A1} => {P}";0.065439672801636;0.695652173913043;0.0940695296523518;3.47116237799468;32
"{A} => {P}";0.0899795501022495;0.63768115942029;0.141104294478528;3.18189884649512;44
"{A,Pr} => {Informatika}";0.0531697341513292;0.634146341463415;0.0838445807770961;2.65040650406504;26
"{A1,P,Teknik Sipil} => {Pr}";0.0388548057259714;0.730769230769231;0.0531697341513293;2.38230769230769;19
"{A1,P,SNMPTN} => {Pr}";0.0408997955010225;0.714285714285714;0.0572597137014315;2.32857142857143;20
"{A1,M} => {SPMU}";0.0388548057259714;0.703703703703704;0.0552147239263804;2.24909222948439;19
"{A1,B,SNMPTN,Teknik Sipil} => {Pr}";0.0429447852760736;0.67741935483871;0.0633946830265849;2.20838709677419;21
"{B,SM,SNMPTN,Teknik Sipil} => {Pr}";0.0552147239263804;0.675;0.081799591002045;2.2005;27
"{A,SNMPTN} => {Pr}";0.0449897750511247;0.647058823529412;0.0695296523517382;2.10941176470588;22
"{A1,P} => {Pr}";0.0797546012269939;0.639344262295082;0.124744376278119;2.08426229508197;39
"{A,A1} => {Pr}";0.0593047034764826;0.630434782608696;0.0940695296523517;2.05521739130435;29
"{Informatika,P} => {Pr}";0.0511247443762781;0.625;0.081799591002045;2.0375;25
"{P,SNMPTN} => {Pr}";0.0511247443762781;0.609756097560976;0.0838445807770961;1.98780487804878;25
"{B,SNMPTN,Teknik Sipil} => {Pr}";0.0695296523517382;0.607142857142857;0.114519427402863;1.97928571428571;34
