"rules";"support";"confidence";"coverage";"lift";"count"
"{} => {SNMPTN}";0.563559322033898;0.563559322033898;1;1;133
"{} => {A1}";0.567796610169492;0.567796610169492;1;1;134
"{} => {SM}";0.711864406779661;0.711864406779661;1;1;168
"{} => {Lk}";0.76271186440678;0.76271186440678;1;1;180
"{Teknik Mesin} => {Lk}";0.203389830508475;0.979591836734694;0.207627118644068;1.2843537414966;48
"{C} => {SM}";0.224576271186441;0.815384615384615;0.275423728813559;1.14542124542125;53
"{C} => {Lk}";0.245762711864407;0.892307692307692;0.275423728813559;1.16991452991453;58
"{A2} => {SM}";0.228813559322034;0.805970149253731;0.283898305084746;1.13219616204691;54
"{A2} => {Lk}";0.233050847457627;0.82089552238806;0.283898305084746;1.07628524046435;55
"{SPMU} => {A1}";0.23728813559322;0.708860759493671;0.334745762711864;1.24844133761572;56
"{SPMU} => {SM}";0.228813559322034;0.683544303797468;0.334745762711864;0.960216998191682;54
"{SPMU} => {Lk}";0.266949152542373;0.79746835443038;0.334745762711864;1.04556962025316;63
"{Teknik Sipil} => {B}";0.203389830508475;0.578313253012048;0.351694915254237;1.2295669163139;48
"{Teknik Sipil} => {SNMPTN}";0.207627118644068;0.590361445783133;0.351694915254237;1.04755865567533;49
"{Teknik Sipil} => {A1}";0.220338983050847;0.626506024096386;0.351694915254237;1.10339866930408;52
"{Teknik Sipil} => {SM}";0.25;0.710843373493976;0.351694915254237;0.998565691336776;59
"{Teknik Sipil} => {Lk}";0.241525423728814;0.686746987951807;0.351694915254237;0.900401606425703;57
"{B} => {SNMPTN}";0.25;0.531531531531532;0.470338983050847;0.943168732642417;59
"{B} => {A1}";0.245762711864407;0.522522522522523;0.470338983050847;0.920263547129219;58
"{B} => {SM}";0.377118644067797;0.801801801801802;0.470338983050847;1.12634062634063;89
"{SM} => {B}";0.377118644067797;0.529761904761905;0.711864406779661;1.12634062634063;89
"{B} => {Lk}";0.338983050847458;0.720720720720721;0.470338983050847;0.944944944944945;80
"{SNMPTN} => {A1}";0.296610169491525;0.526315789473684;0.563559322033898;0.926944226237235;70
"{A1} => {SNMPTN}";0.296610169491525;0.522388059701492;0.567796610169492;0.926944226237235;70
"{SNMPTN} => {SM}";0.419491525423729;0.744360902255639;0.563559322033898;1.04564983888292;99
"{SM} => {SNMPTN}";0.419491525423729;0.589285714285714;0.711864406779661;1.04564983888292;99
"{SNMPTN} => {Lk}";0.415254237288136;0.736842105263158;0.563559322033898;0.966081871345029;98
"{Lk} => {SNMPTN}";0.415254237288136;0.544444444444444;0.76271186440678;0.966081871345029;98
"{A1} => {SM}";0.372881355932203;0.656716417910448;0.567796610169492;0.922530206112296;88
"{SM} => {A1}";0.372881355932203;0.523809523809524;0.711864406779661;0.922530206112296;88
"{A1} => {Lk}";0.415254237288136;0.73134328358209;0.567796610169492;0.958872305140962;98
"{Lk} => {A1}";0.415254237288136;0.544444444444444;0.76271186440678;0.958872305140962;98
"{SM} => {Lk}";0.559322033898305;0.785714285714286;0.711864406779661;1.03015873015873;132
"{Lk} => {SM}";0.559322033898305;0.733333333333333;0.76271186440678;1.03015873015873;132
"{B,SM} => {Lk}";0.279661016949153;0.741573033707865;0.377118644067797;0.972284644194757;66
"{B,Lk} => {SM}";0.279661016949153;0.825;0.338983050847458;1.15892857142857;66
"{Lk,SM} => {B}";0.279661016949153;0.5;0.559322033898305;1.06306306306306;66
"{A1,SNMPTN} => {Lk}";0.203389830508475;0.685714285714286;0.296610169491525;0.899047619047619;48
"{SM,SNMPTN} => {Lk}";0.313559322033898;0.747474747474748;0.419491525423729;0.980022446689113;74
"{Lk,SNMPTN} => {SM}";0.313559322033898;0.755102040816326;0.415254237288136;1.06073858114674;74
"{Lk,SM} => {SNMPTN}";0.313559322033898;0.560606060606061;0.559322033898305;0.994759626338574;74
"{A1,SM} => {Lk}";0.275423728813559;0.738636363636364;0.372881355932203;0.968434343434343;65
"{A1,Lk} => {SM}";0.275423728813559;0.663265306122449;0.415254237288136;0.931729834791059;65
