"rules";"support";"confidence";"coverage";"lift";"count"
"{} => {SNMPTN}";0.563559322033898;0.563559322033898;1;1;133
"{} => {A1}";0.567796610169492;0.567796610169492;1;1;134
"{} => {SM}";0.711864406779661;0.711864406779661;1;1;168
"{} => {Lk}";0.76271186440678;0.76271186440678;1;1;180
"{SNMPTN} => {SM}";0.419491525423729;0.744360902255639;0.563559322033898;1.04564983888292;99
"{SM} => {SNMPTN}";0.419491525423729;0.589285714285714;0.711864406779661;1.04564983888292;99
"{SNMPTN} => {Lk}";0.415254237288136;0.736842105263158;0.563559322033898;0.966081871345029;98
"{Lk} => {SNMPTN}";0.415254237288136;0.544444444444444;0.76271186440678;0.966081871345029;98
"{A1} => {Lk}";0.415254237288136;0.73134328358209;0.567796610169492;0.958872305140962;98
"{Lk} => {A1}";0.415254237288136;0.544444444444444;0.76271186440678;0.958872305140962;98
"{SM} => {Lk}";0.559322033898305;0.785714285714286;0.711864406779661;1.03015873015873;132
"{Lk} => {SM}";0.559322033898305;0.733333333333333;0.76271186440678;1.03015873015873;132
