"AsalSekolah","n"
"SMAN 2 KOTA BENGKULU",69
"SMKN 2 KOTA BENGKULU",64
"SMAN 5 KOTA BENGKULU",54
"SMAN 7 KOTA BENGKULU",48
"SMAN 6 KOTA BENGKULU",47
"SMAN 1 KOTA BENGKULU",32
"SMAN 4 KOTA BENGKULU",30
"SMAN 3 KOTA BENGKULU",25
"SMAN 1 ARGA MAKMUR",22
"SMA MUHAMMADIYAH 4 KOTA BENGKULU",17
"SMAN 1 KEPAHIANG",14
"SMAN 1 CURUP",13
"SMKN 2 ARGA MAKMUR",11
"SMAN 4 CURUP",10
"SMAN 8 KOTA BENGKULU",10
"SMAN 2 CURUP",9
"SMAN 2 MANNA",9
"SMKN 1 CURUP",9
"SMKS 8 GRAKARSA KOTA BENGKULU",9
"MAN 1 MODEL KOTA BENGKULU",8
"SMAN 10 KOTA BENGKULU",8
"SMKN 1 KETAHUN",7
"SMAN 1 LUBUKLINGGAU",6
"SMAN 1 MANNA",6
"SMAN 1 PADANG JAYA",6
"SMKN 4 KOTA BENGKULU",6
"SMAN 1 PUTRI HIJAU",5
"SMAN 1 SELUMA",5
"SMKN 1 KOTA BENGKULU",5
"SMAN 1 KAUR",4
"SMAN 1 LEBONG UTARA",4
"SMAN 1 PAGARALAM",4
"SMAN 1 PONDOK KELAPA",4
"SMAN 3 KAUR",4
"SMAN 3 MANNA",4
"SMAN 5 CURUP",4
"SMAN 5 MANNA",4
"MAN 2 KOTA BENGKULU",3
"SMAN 1 TUGU MULYO",3
"SMAN 3 LUBUKLINGGAU",3
"SMAN 3 SELUMA",3
"SMAN 4 MANNA",3
"SMAN 9 KOTA BENGKULU",3
"SMKN 3 LUBUKLINGGAU",3
"SMKS 9 MUHAMMADIYAH KOTA BENGKULU",3
"MAN 2 CURUP",2
"SMA MUHAMMADIYAH  4 KOTA BENGKULU",2
"SMA XAVERIUS CURUP",2
"SMAN 1 BENGKULU TENGAH",2
"SMAN 1 KERKAP",2
"SMAN 1 KETAHUN",2
"SMAN 1 PURWODADI",2
"SMAN 1 SEKAYU",2
"SMAN 1 SELUPU REJANG",2
"SMAN 1 SIDIKALANG",2
"SMAN 1 TARUTUNG",2
"SMAN 2 ARGA MAKMUR",2
