"rules";"support";"confidence";"coverage";"lift";"count"
"{} => {Lk}";0.703096539162113;0.703096539162113;1;1;386
"{} => {SM}";0.706739526411658;0.706739526411658;1;1;388
"{M} => {Lk}";0.134790528233151;0.948717948717949;0.14207650273224;1.34934236747708;74
"{A3} => {Lk}";0.109289617486339;0.75;0.145719489981785;1.06670984455959;60
"{A3} => {SM}";0.111111111111111;0.7625;0.145719489981785;1.07889819587629;61
"{Teknik Mesin} => {Lk}";0.147540983606557;0.975903614457831;0.151183970856102;1.38800799051127;81
"{Teknik Mesin} => {SM}";0.114754098360656;0.759036144578313;0.151183970856102;1.07399701900385;63
"{Teknik Elektro} => {Lk}";0.160291438979964;0.854368932038835;0.187613843351548;1.21515166758891;88
"{Teknik Elektro} => {SM}";0.123861566484517;0.660194174757282;0.187613843351548;0.934140726653989;68
"{C} => {Lk}";0.202185792349727;0.909836065573771;0.222222222222222;1.2940414507772;111
"{C} => {SM}";0.156648451730419;0.704918032786885;0.222222222222222;0.997422680412371;86
"{A2} => {Lk}";0.202185792349727;0.75;0.269581056466302;1.06670984455959;111
"{A2} => {SM}";0.194899817850638;0.722972972972973;0.269581056466302;1.02296949010867;107
"{Informatika} => {A1}";0.182149362477231;0.62111801242236;0.293260473588342;1.06560559006211;100
"{Informatika} => {SM}";0.19672131147541;0.670807453416149;0.293260473588342;0.949157968880067;108
"{Pr} => {B}";0.198542805100182;0.672839506172839;0.295081967213115;1.26937762504773;109
"{Pr} => {A1}";0.191256830601093;0.648148148148148;0.295081967213115;1.11197916666667;105
"{Pr} => {SM}";0.209471766848816;0.709876543209877;0.295081967213115;1.00443871706758;115
"{SPMU} => {Lk}";0.256830601092896;0.754010695187166;0.340619307832423;1.07241417527916;141
"{SPMU} => {SM}";0.234972677595628;0.689839572192513;0.340619307832423;0.976087435911572;129
"{Teknik Sipil} => {B}";0.255009107468124;0.696517412935323;0.366120218579235;1.3140483151254;140
"{Teknik Sipil} => {A1}";0.238615664845173;0.651741293532338;0.366120218579235;1.11814365671642;131
"{Teknik Sipil} => {Lk}";0.225865209471767;0.616915422885572;0.366120218579235;0.877426339803573;124
"{Teknik Sipil} => {SM}";0.271402550091075;0.741293532338308;0.366120218579235;1.04889213725188;149
"{B} => {Lk}";0.331511839708561;0.625429553264605;0.530054644808743;0.889535815394477;182
"{B} => {SM}";0.435336976320583;0.821305841924399;0.530054644808743;1.16210543097035;239
"{SM} => {B}";0.435336976320583;0.615979381443299;0.706739526411657;1.16210543097035;239
"{SNMPTN} => {Lk}";0.36976320582878;0.688135593220339;0.537340619307832;0.978721348906648;203
"{SNMPTN} => {SM}";0.397085610200364;0.738983050847458;0.537340619307832;1.04562292503931;218
"{A1} => {Lk}";0.391621129326047;0.671875;0.58287795992714;0.955594235751295;215
"{A1} => {SM}";0.400728597449909;0.6875;0.58287795992714;0.97277706185567;220
"{Lk} => {SM}";0.497267759562842;0.707253886010363;0.703096539162113;1.00072779231879;273
"{SM} => {Lk}";0.497267759562842;0.70360824742268;0.706739526411657;1.00072779231879;273
"{Lk,Teknik Mesin} => {SM}";0.114754098360656;0.777777777777778;0.147540983606557;1.10051546391753;63
"{SM,Teknik Mesin} => {Lk}";0.114754098360656;1;0.114754098360656;1.42227979274611;63
"{Lk,Teknik Elektro} => {SM}";0.103825136612022;0.647727272727273;0.160291438979964;0.916500702905342;57
"{SM,Teknik Elektro} => {Lk}";0.103825136612022;0.838235294117647;0.123861566484517;1.19220512039012;57
"{A1,C} => {Lk}";0.114754098360656;0.887323943661972;0.129326047358834;1.26202291469021;63
"{C,Lk} => {SM}";0.14207650273224;0.702702702702703;0.202185792349727;0.994288102535525;78
"{C,SM} => {Lk}";0.14207650273224;0.906976744186046;0.156648451730419;1.28997469574648;78
"{A2,B} => {SM}";0.123861566484517;0.871794871794872;0.14207650273224;1.23354480570975;68
"{A2,SM} => {B}";0.123861566484517;0.635514018691589;0.194899817850638;1.19895943732537;68
"{A2,SNMPTN} => {SM}";0.100182149362477;0.774647887323944;0.129326047358834;1.09608683025991;55
"{A2,Lk} => {SM}";0.138433515482696;0.684684684684685;0.202185792349727;0.968793535803845;76
"{A2,SM} => {Lk}";0.138433515482696;0.710280373831776;0.194899817850638;1.01021742288509;76
"{B,Informatika} => {SM}";0.105646630236794;0.743589743589744;0.14207650273224;1.05214115781126;58
"{Informatika,SNMPTN} => {A1}";0.10200364298725;0.666666666666667;0.153005464480874;1.14375;56
"{Informatika,SNMPTN} => {SM}";0.107468123861566;0.702380952380952;0.153005464480874;0.993832842415317;59
"{Informatika,Lk} => {A1}";0.103825136612022;0.612903225806452;0.169398907103825;1.05151209677419;57
"{A1,Informatika} => {SM}";0.112932604735883;0.62;0.182149362477231;0.877268041237113;62
"{Informatika,Lk} => {SM}";0.123861566484517;0.731182795698925;0.169398907103825;1.03458596607915;68
"{Informatika,SM} => {Lk}";0.123861566484517;0.62962962962963;0.19672131147541;0.895509499136442;68
"{Pr,Teknik Sipil} => {B}";0.122040072859745;0.87012987012987;0.140255009107468;1.64158521890481;67
"{B,Pr} => {Teknik Sipil}";0.122040072859745;0.614678899082569;0.198542805100182;1.67889908256881;67
"{Pr,Teknik Sipil} => {SM}";0.116575591985428;0.831168831168831;0.140255009107468;1.17606105234971;64
"{Pr,SNMPTN} => {B}";0.114754098360656;0.684782608695652;0.167577413479053;1.29190945764231;63
"{B,Pr} => {A1}";0.122040072859745;0.614678899082569;0.198542805100182;1.05455848623853;67
"{A1,Pr} => {B}";0.122040072859745;0.638095238095238;0.191256830601093;1.20382916053019;67
"{B,Pr} => {SM}";0.154826958105647;0.779816513761468;0.198542805100182;1.10340017024496;85
"{Pr,SM} => {B}";0.154826958105647;0.739130434782609;0.209471766848816;1.39444195428059;85
"{Pr,SNMPTN} => {A1}";0.105646630236794;0.630434782608696;0.167577413479053;1.08158967391304;58
"{Pr,SNMPTN} => {SM}";0.120218579234973;0.717391304347826;0.167577413479053;1.01507171671896;66
"{A1,Pr} => {SM}";0.123861566484517;0.647619047619048;0.191256830601093;0.916347569955817;68
"{SPMU,Teknik Sipil} => {SM}";0.10200364298725;0.811594202898551;0.12568306010929;1.14836396234872;56
"{B,SPMU} => {A1}";0.100182149362477;0.611111111111111;0.163934426229508;1.0484375;55
"{B,SPMU} => {Lk}";0.109289617486339;0.666666666666667;0.163934426229508;0.948186528497409;60
"{B,SPMU} => {SM}";0.14207650273224;0.866666666666667;0.163934426229508;1.22628865979381;78
"{SM,SPMU} => {B}";0.14207650273224;0.604651162790698;0.234972677595628;1.1407336370175;78
"{A1,SPMU} => {Lk}";0.147540983606557;0.723214285714286;0.204007285974499;1.02861306439674;81
"{A1,SPMU} => {SM}";0.143897996357013;0.705357142857143;0.204007285974499;0.998043998527246;79
"{SM,SPMU} => {A1}";0.143897996357013;0.612403100775194;0.234972677595628;1.05065406976744;79
"{Lk,SPMU} => {SM}";0.165755919854281;0.645390070921986;0.256830601092896;0.913193682825181;91
"{SM,SPMU} => {Lk}";0.165755919854281;0.705426356589147;0.234972677595628;1.00331365224726;91
