"id","JalurMasuk","JenisKelamin","Prodi","Ipk","LamaStudi","AsalSekolah"
"1","SNMPTN","Pr","Informatika","P","A","A1"
"3","SNMPTN","Lk","Informatika","SM","A","A2"
"6","SNMPTN","Lk","Informatika","SM","B","A1"
"7","SNMPTN","Pr","Informatika","SM","A","A2"
"9","SNMPTN","Lk","Informatika","SM","B","A3"
"10","SNMPTN","Lk","Informatika","SM","B","A1"
"12","SBMPTN","Pr","Informatika","SM","B","A1"
"13","SBMPTN","Pr","Informatika","P","A","A1"
"14","SBMPTN","Lk","Informatika","M","C","A1"
"15","SBMPTN","Lk","Informatika","SM","B","A2"
"17","SBMPTN","Lk","Informatika","SM","B","A1"
"18","SBMPTN","Lk","Informatika","P","B","A1"
"19","SBMPTN","Lk","Informatika","SM","B","A2"
"23","SPMU","Lk","Informatika","SM","D","A1"
"25","SPMU","Lk","Informatika","M","D","A2"
"27","SPMU","Lk","Informatika","SM","C","A2"
"28","SPMU","Lk","Informatika","SM","B","A1"
"29","SPMU","Lk","Informatika","SM","B","A1"
"30","SPMU","Pr","Informatika","SM","A","A1"
"35","SNMPTN","Pr","Informatika","SM","B","A2"
"36","SNMPTN","Pr","Informatika","SM","A","A1"
"38","SNMPTN","Pr","Informatika","P","A","A2"
"39","SNMPTN","Pr","Informatika","SM","B","A1"
"40","SNMPTN","Pr","Informatika","P","B","A1"
"41","SNMPTN","Lk","Informatika","SM","B","A1"
"42","SNMPTN","Lk","Informatika","SM","B","A1"
"43","SNMPTN","Pr","Informatika","P","C","A1"
"44","SBMPTN","Pr","Informatika","P","A","A1"
"45","SBMPTN","Lk","Informatika","P","A","A1"
"46","SBMPTN","Lk","Informatika","SM","D","A1"
"47","SBMPTN","Pr","Informatika","P","B","A1"
"48","SBMPTN","Lk","Informatika","SM","B","A2"
"49","SBMPTN","Lk","Informatika","SM","C","A1"
"51","SPMU","Lk","Informatika","SM","C","A2"
"52","SPMU","Lk","Informatika","SM","C","A2"
"54","SPMU","Lk","Informatika","SM","B","A2"
"55","SPMU","Pr","Informatika","SM","A","A3"
"56","SPMU","Pr","Informatika","P","B","A1"
"57","SPMU","Lk","Informatika","SM","B","A2"
"60","SNMPTN","Lk","Informatika","SM","A","A2"
"61","SNMPTN","Lk","Informatika","SM","A","A2"
"62","SNMPTN","Lk","Informatika","SM","B","A2"
"63","SNMPTN","Lk","Informatika","SM","C","A1"
"64","SNMPTN","Lk","Informatika","P","A","A1"
"66","SNMPTN","Pr","Informatika","SM","A","A1"
"70","SBMPTN","Lk","Informatika","P","A","A1"
"72","SBMPTN","Pr","Informatika","P","A","A1"
"74","SBMPTN","Pr","Informatika","P","A","A3"
"75","SBMPTN","Lk","Informatika","SM","B","A1"
"76","SBMPTN","Pr","Informatika","P","A","A1"
"77","SBMPTN","Lk","Informatika","P","B","A3"
"78","SBMPTN","Pr","Informatika","SM","C","A2"
"79","SBMPTN","Pr","Informatika","P","A","A1"
"80","SBMPTN","Lk","Informatika","SM","C","A2"
"81","SBMPTN","Pr","Informatika","SM","B","A2"
"82","SBMPTN","Lk","Informatika","P","B","A2"
"83","SBMPTN","Lk","Informatika","SM","B","A2"
"85","SPMU","Lk","Informatika","P","A","A1"
"86","SPMU","Lk","Informatika","SM","C","A2"
"90","SPMU","Lk","Informatika","SM","B","A1"
"91","SPMU","Pr","Informatika","SM","B","A1"
"92","SNMPTN","Lk","Informatika","P","B","A2"
"93","SNMPTN","Pr","Informatika","SM","B","A2"
